Date,Team,Notes,Status,Player
2014-03-07,Nuggets,recovering from surgery on left knee to repair torn ACL (DNP),Relinquished,Nate Robinson
2014-03-09,Nuggets,recovering from surgery on left knee to repair torn ACL (DNP),Relinquished,Nate Robinson
2014-03-10,Nuggets,recovering from surgery on left knee to repair torn ACL (DNP),Relinquished,Nate Robinson
2014-03-12,Nuggets,recovering from surgery on left knee to repair torn ACL (DNP),Relinquished,Nate Robinson
2014-03-14,Nuggets,recovering from surgery on left knee to repair torn ACL (DNP),Relinquished,Nate Robinson
2014-03-15,Nuggets,recovering from surgery on left knee to repair torn ACL (DNP),Relinquished,Nate Robinson
2014-03-17,Nuggets,recovering from surgery on left knee to repair torn ACL (DNP),Relinquished,Nate Robinson
2014-03-19,Nuggets,recovering from surgery on left knee to repair torn ACL (DNP),Relinquished,Nate Robinson
2014-03-22,Nuggets,torn ACL in right knee (out indefinitely),Relinquished,J.J. Hickson
2014-03-23,Nuggets,torn ACL in right knee (DNP),Relinquished,J.J. Hickson
2014-03-23,Nuggets,recovering from surgery on left knee to repair torn ACL (DNP),Relinquished,Nate Robinson
2014-03-24,Nuggets,torn ACL in right knee (DNP),Relinquished,J.J. Hickson
2014-03-24,Nuggets,recovering from surgery on left knee to repair torn ACL (DNP),Relinquished,Nate Robinson
2014-03-25,Nuggets,surgery on right knee to repair torn ACL (out indefinitely),Relinquished,J.J. Hickson
2014-03-26,Nuggets,recovering from surgery on right knee to repair torn ACL (DNP),Relinquished,J.J. Hickson
2014-03-26,Nuggets,recovering from surgery on left knee to repair torn ACL (DNP),Relinquished,Nate Robinson
2014-03-28,Nuggets,recovering from surgery on right knee to repair torn ACL (DNP),Relinquished,J.J. Hickson
2014-03-28,Nuggets,recovering from surgery on left knee to repair torn ACL (DNP),Relinquished,Nate Robinson
2014-03-31,Nuggets,recovering from surgery on right knee to repair torn ACL (DNP),Relinquished,J.J. Hickson
2014-03-31,Nuggets,recovering from surgery on left knee to repair torn ACL (DNP),Relinquished,Nate Robinson
2014-04-02,Nuggets,recovering from surgery on right knee to repair torn ACL (DNP),Relinquished,J.J. Hickson
2014-04-02,Nuggets,recovering from surgery on left knee to repair torn ACL (DNP),Relinquished,Nate Robinson
2014-04-04,Nuggets,recovering from surgery on right knee to repair torn ACL (DNP),Relinquished,J.J. Hickson
2014-04-04,Nuggets,recovering from surgery on left knee to repair torn ACL (DNP),Relinquished,Nate Robinson
2014-04-06,Nuggets,recovering from surgery on right knee to repair torn ACL (DNP),Relinquished,J.J. Hickson
2014-04-06,Nuggets,recovering from surgery on left knee to repair torn ACL (DNP),Relinquished,Nate Robinson
2014-04-09,Nuggets,recovering from surgery on right knee to repair torn ACL (DNP),Relinquished,J.J. Hickson
2014-04-09,Nuggets,recovering from surgery on left knee to repair torn ACL (DNP),Relinquished,Nate Robinson
2014-04-10,Nuggets,recovering from surgery on right knee to repair torn ACL (DNP),Relinquished,J.J. Hickson
2014-04-10,Nuggets,recovering from surgery on left knee to repair torn ACL (DNP),Relinquished,Nate Robinson
2014-04-12,Nuggets,recovering from surgery on right knee to repair torn ACL (DNP),Relinquished,J.J. Hickson
2014-04-12,Nuggets,recovering from surgery on left knee to repair torn ACL (DNP),Relinquished,Nate Robinson
2014-04-15,Nuggets,torn ACL in left knee (out for season),Relinquished,Danilo Gallinari
2014-04-15,Nuggets,recovering from surgery on right knee to repair torn ACL (DNP),Relinquished,J.J. Hickson
2014-04-15,Nuggets,recovering from surgery on left knee to repair torn ACL (DNP),Relinquished,Nate Robinson
2014-04-16,Nuggets,recovering from surgery on right knee to repair torn ACL (DNP),Relinquished,J.J. Hickson
2014-04-16,Nuggets,recovering from surgery on left knee to repair torn ACL (DNP),Relinquished,Nate Robinson
2014-12-16,Bucks,torn ACL in left knee (out for season),Relinquished,Jabari Parker
2014-12-23,Bucks,placed on IL with torn ACL in left knee (out for season),Relinquished,Jabari Parker
2015-01-05,Bucks,surgery on left knee to repair torn ACL (out for season),Relinquished,Jabari Parker
2015-01-17,Bucks,torn ACL in right knee (out for season),Relinquished,Kendall Marshall
2015-01-17,Bucks,surgery on right knee to repair torn ACL (out for season),Relinquished,Kendall Marshall
2015-01-19,Bucks,placed on IL recovering from surgery on right knee to repair torn ACL (out for season),Relinquished,Kendall Marshall
2015-01-23,76ers,placed on IL with torn ACL in right knee (out for season),Relinquished,Tony Wroten Jr.
2015-08-06,Jazz,torn ACL in left knee (out indefinitely),Relinquished,Dante Exum
2015-09-03,Jazz,surgery on left knee to repair torn ACL (out indefinitely),Relinquished,Dante Exum
2015-10-28,Bucks,placed on IL recovering from surgery on left knee to repair torn ACL,Relinquished,Jabari Parker
2015-10-28,Jazz,placed on IL recovering from surgery on left knee to repair torn ACL (out for season),Relinquished,Dante Exum
2016-01-03,Nets,torn ACL in right knee (out for season),Relinquished,Jarrett Jack
2016-01-04,Nets,placed on IL with torn ACL in right knee (out for season),Relinquished,Jarrett Jack
2016-12-16,Cavaliers,torn ACL in right knee (out for season),Relinquished,Chris Andersen
2016-12-17,Cavaliers,placed on IL with torn ACL in right knee,Relinquished,Chris Andersen
2017-02-03,Timberwolves,torn ACL in left knee (out for season),Relinquished,Zach LaVine
2017-02-04,Timberwolves,placed on IL with torn ACL in left knee (out for season),Relinquished,Zach LaVine
2017-02-08,Bucks,torn ACL in left knee (out for season),Relinquished,Jabari Parker
2017-02-10,Bucks,placed on IL with torn ACL in left knee,Relinquished,Jabari Parker
2017-02-15,Bucks,surgery on left knee to repair torn ACL (out for season),Relinquished,Jabari Parker
2017-04-10,Bucks,placed on IL recovering from surgery on left knee to repair torn ACL (out for season),Relinquished,Jabari Parker
2017-04-15,Bucks,placed on IL recovering from surgery on left knee to repair torn ACL (out for season),Relinquished,Jabari Parker
2017-07-25,Suns,torn ACL in left knee (out for season),Relinquished,Brandon Knight
2017-09-18,Raptors,torn ACL in knee (out indefinitely),Relinquished,Ogugua Anunoby / O.G. Anunoby
2017-10-18,Bucks,placed on IL recovering from surgery on left knee to repair torn ACL,Relinquished,Jabari Parker
2017-10-18,Suns,placed on IL recovering from torn ACL in left knee (out for season),Relinquished,Brandon Knight
2017-10-19,Bulls,placed on IL recovering from torn ACL in left knee,Relinquished,Zach LaVine
2018-02-06,Knicks,torn ACL in left knee (out for season),Relinquished,Kristaps Porzingis
2018-02-08,Knicks,placed on IL with torn ACL in left knee (out for season),Relinquished,Kristaps Porzingis
2018-02-13,Knicks,surgery on left knee to repair torn ACL (out for season),Relinquished,Kristaps Porzingis
2018-03-08,Spurs,sprained ACL in right knee (DTD),Relinquished,Pau Gasol
2018-10-07,Spurs,torn ACL in right knee (out for season),Acquired,Dejounte Murray
2018-10-17,Knicks,recovering from surgery on left knee to repair torn ACL (out for season),Relinquished,Kristaps Porzingis
2018-10-17,Spurs,placed on IL with torn ACL in right knee (out for season),Relinquished,Dejounte Murray
2019-06-14,Warriors,torn ACL in left knee (out for season),Relinquished,Klay Thompson
2019-07-03,Warriors,surgery on left knee to repair torn ACL (out indefinitely),Relinquished,Klay Thompson
2019-10-22,Lakers,placed on IL recovering from surery on left knee to repair torn ACL,Relinquished,DeMarcus Cousins
2019-12-23,Bulls,torn ACL in left knee (out for season),Relinquished,Max Strus
2020-02-24,Pacers,torn ACL in left knee (out for season),Relinquished,Jeremy Lamb
2020-02-25,Pacers,placed on IL with torn ACL in left knee (out for season),Relinquished,Jeremy Lamb
2020-08-02,Magic,torn ACL in left knee (out for season),Relinquished,Jonathan Isaac
2020-08-04,Magic,placed on IL with torn ACL in left knee (out for season),Relinquished,Jonathan Isaac
