Date,Team,Acquired,Relinquished,Notes
2000-01-30,Heat,,Tim James,placed on IL with sprained back
2000-01-30,Kings,,Predrag Stojakovic / Peja Stojakovic,right Achilles tendinitis (DNP)
2000-01-30,Knicks,,Chris Childs,strained left Achilles tendon (DNP)
2000-01-31,Grizzlies,,Antoine Carr,placed on IL with left quadriceps tendinitis / sprained ankle (Stats)
2000-01-31,Grizzlies,Cherokee Parks,,activated from IL
2000-01-31,Heat,Rodney Buford,,activated from IL
2000-01-31,Kings,,Corliss Williamson,back spasms (DNP)
2000-01-31,Kings,,Predrag Stojakovic / Peja Stojakovic,right Achilles tendinitis (DNP)
Date,Team,Acquired,Relinquished,Notes
2000-01-31,Pistons,,Grant Hill,bruised right hip (DNP)
2000-01-31,Timberwolves,,Terrell Brandon,sprained left ankle (DNP)
2000-02-01,Blazers,,Arvydas Sabonis,DNP
2000-02-01,Blazers,,Damon Stoudamire,DNP
2000-02-01,Cavaliers,,Bob Sura,sprained right big toe (DTD)
2000-02-01,Clippers,,Lamar Odom,flu (DNP)
2000-02-01,Clippers,Brian Skinner,,activated from IL
2000-02-01,Magic,,Derek Strong,placed on IL with strained lower back
2000-02-01,Nuggets,,Chris Herren,placed on IR with left knee strain
2000-02-01,Nuggets,Chauncey Billups,,activated from IL
2000-02-01,Nuggets,Johnny Taylor,,activated from IL
2000-02-01,Pacers,,Al Harrington,placed on IL with sprained lower back
2000-02-01,Pacers,Derrick McKey,,activated from IL
2000-02-01,Warriors,,Erick Dampier,recovering from left knee surgery (DNP)
2000-02-01,Warriors,,Jason Caffey,flu (DNP)
2000-02-01,Warriors,,Terry Cummings,placed on IL with strained right rotator cuff
2000-02-01,Warriors,John Starks,,activated from IL
2000-02-01,Wizards,,Michael Smith (John) (Providence),strained right elbow (DNP)
2000-02-02,Clippers,,Brian Skinner,sprained left ankle (DNP)
2000-02-02,Kings,,Corliss Williamson,lower back spasms (DNP)
2000-02-02,Pistons,,Grant Hill,bruised right hip (DNP)
2000-02-02,Spurs,,David Robinson,separated right shoulder (DTD)
2000-02-02,Suns,,Rex Chapman,back spasms (DNP)
2000-02-02,Timberwolves,,Terrell Brandon,sprained left ankle (DNP)
2000-02-02,Wizards,,Michael Smith (John) (Providence),placed on IR with sprained right elbow
Date,Team,Acquired,Relinquished,Notes
2000-02-02,Wizards,Mitch Richmond,,activated from IL
2000-02-03,Cavaliers,,Trajan Langdon,arthroscopic surgery on right knee (out 6 months)
2000-02-03,Knicks,,Chris Childs,strained left Achilles tendon (DNP)
2000-02-03,Pistons,,Grant Hill,bruised right hip (DNP)
2000-02-03,Spurs,,David Robinson,bruised right shoulder (DNP)
2000-02-04,Bulls,,Dickey Simpkins,personal reasons (DNP)
2000-02-04,Cavaliers,,Bob Sura,sprained right big toe (DNP)
2000-02-04,Kings,,Corliss Williamson,lower back spasms (DNP)
2000-02-04,Pacers,,Austin Croshere,bruised left hip (DNP)
2000-02-04,Pistons,,Grant Hill,bruised right hip (DNP)
2000-02-04,Rockets,,Steve Francis,hernia / sprained right knee (P) (DNP)
2000-02-04,Timberwolves,,Terrell Brandon,sprained left ankle (DNP)
2000-02-04,Spurs,Chucky Brown,,activated from IL
2000-02-05,Cavaliers,,Bob Sura,bruised right big toe (DNP)
2000-02-05,Cavaliers,,Brevin Knight,tendinitis in right quadriceps (DNP)
2000-02-05,Cavaliers,,Cedric Henderson (Earl),sprained left thumb (DNP)
2000-02-05,Nuggets,,Nick Van Exel,strained right groin (DNP)
2000-02-06,Kings,,Corliss Williamson,lower back spasms (DNP)
2000-02-06,Knicks,,Chris Childs,sore left Achilles tendon (DNP)
2000-02-06,Knicks,,Larry Johnson (Demetric),chip fracture in metatarsal (DNP)
2000-02-06,Knicks,,Marcus Camby,partially torn ACL in right knee (DTD)
2000-02-06,Nets,,Lucious Harris,sore right hamstring (DNP)
2000-02-06,Rockets,,Steve Francis,sprained right knee (DNP)
2000-02-07,Bucks,Rafer Alston,,activated from IL
2000-02-07,Cavaliers,,Cedric Henderson (Earl),placed on IR with torn ligaments in left thumb
Date,Team,Acquired,Relinquished,Notes
2000-02-07,Cavaliers,,Cedric Henderson (Earl),surgery on right thumb
2000-02-07,Knicks,,Chris Childs,strained left Achilles tendon (DNP)
2000-02-07,Knicks,,Larry Johnson (Demetric),chip fracture in metatarsal (DNP)
2000-02-07,Knicks,,Marcus Camby,partially torn ACL in right knee (DNP)
2000-02-08,76ers,,Nazr Mohammed,oral surgery (DNP)
2000-02-08,Blazers,,Stacey Augmon,flu (DNP)
2000-02-08,Cavaliers,,Bob Sura,sprained right big toe (DNP)
2000-02-08,Celtics,,Doug Overton,placed on IL with sprained right ankle
2000-02-08,Clippers,,Eric Murdock,sprained left ankle (DNP)
2000-02-08,Clippers,,Tyrone Nesby,cracked bone in right big toe (DNP)
2000-02-08,Hornets,,Michael Hawkins,placed on IL with left knee tendinitis
2000-02-08,Knicks,,Chris Childs,strained left Achilles tendon (DNP)
2000-02-08,Knicks,,Chris Dudley,personal reasons (DNP)
2000-02-08,Knicks,,Marcus Camby,arthroscopic surgery on right knee revealed sprained ACL
2000-02-08,Suns,,Todd Day,placed on IL with back spasms
2000-02-08,Suns,Shawn Marion,,activated from IL
2000-02-09,Cavaliers,,Bob Sura,sprained right big toe (DNP)
2000-02-09,Cavaliers,,Brevin Knight,tendinitis in right quadriceps (DNP)
2000-02-09,Clippers,,Eric Murdock,sprained left ankle (DNP)
2000-02-09,Clippers,,Tyrone Nesby,cracked bone in right big toe (DNP)
2000-02-09,Knicks,,Chris Childs,strained left Achilles tendon (DNP)
2000-02-09,Knicks,,Larry Johnson (Demetric),chip fracture in metatarsal (DNP)
2000-02-09,Knicks,,Marcus Camby,placed on IR with sprained ACL in right knee
2000-02-09,Knicks,Andrew Lang,,activated from IL
2000-02-09,Knicks,David Wingate,,activated from IL
Date,Team,Acquired,Relinquished,Notes
2000-02-09,Suns,,Oliver Miller,placed on IL with sprained right ankle
2000-02-09,Suns,Mark West (Andre),,activated from IL
2000-02-09,Timberwolves,,Terrell Brandon,sprained left ankle (DNP)
2000-02-10,Clippers,,Brian Skinner,sore left ankle (DNP)
2000-02-10,Clippers,,Eric Murdock,sprained left ankle (DNP)
2000-02-10,Clippers,,Maurice Taylor,sprained right hand (DNP)
2000-02-10,Clippers,,Tyrone Nesby,cracked bone in right big toe (DNP)
2000-02-10,Grizzlies,,Cherokee Parks,bruised right knee (DNP)
2000-02-10,Kings,,Corliss Williamson,strained back (DNP)
2000-02-10,Nuggets,,Nick Van Exel,strained groin (DNP)
2000-02-10,Nuggets,,Tariq Abdul-Wahad / Olivier Saint-Jean,personal reasons (DNP)
2000-02-10,Timberwolves,,Terrell Brandon,sprained left ankle (DNP)
2000-02-10,Warriors,,Antawn Jamison,injured knee (DTD)
2000-02-14,76ers,,Billy Owens,sprained right ankle (DNP)
2000-02-14,Celtics,,Calbert Cheaney,right knee tendinitis
2000-02-14,Clippers,,Lamar Odom,left knee tendinitis (DTD)
2000-02-15,76ers,,Billy Owens,sprained right ankle (DNP)
2000-02-15,Bulls,,Corey Benjamin,placed on IR with left ankle sprain
2000-02-15,Cavaliers,,Bob Sura,sprained right big toe (DNP)
